filepath,filename,astride_detected,num_detected,gt_has_streak,detection_acceptable,outcome
/home/ubuntu/thesis/programs/astride_evaluation/input/0427/SL1918NORAD46768_1.fits,SL1918NORAD46768_1.fits,,1,,1,"TP_ACCEPT (detected streak, acceptable)"
/home/ubuntu/thesis/programs/astride_evaluation/input/0427/SL1918NORAD46768_2.fits,SL1918NORAD46768_2.fits,,8,,1,"TP_ACCEPT (detected streak, acceptable)"
/home/ubuntu/thesis/programs/astride_evaluation/input/0427/SL1918NORAD46768_3.fits,SL1918NORAD46768_3.fits,,0,,1,"TP_ACCEPT (detected streak, acceptable)"
/home/ubuntu/thesis/programs/astride_evaluation/input/0427/SL2228NORAD48576.fits,SL2228NORAD48576.fits,,10,,1,"TP_ACCEPT (detected streak, acceptable)"
/home/ubuntu/thesis/programs/astride_evaluation/input/0427/SL2477NORAD48322.fits,SL2477NORAD48322.fits,,0,,1,"TP_ACCEPT (detected streak, acceptable)"
/home/ubuntu/thesis/programs/astride_evaluation/input/0427/SL2486NORAD48143_1.fits,SL2486NORAD48143_1.fits,,1,,1,"TP_ACCEPT (detected streak, acceptable)"
/home/ubuntu/thesis/programs/astride_evaluation/input/0427/SL2486NORAD48143_2.fits,SL2486NORAD48143_2.fits,,3,,1,"TP_ACCEPT (detected streak, acceptable)"
/home/ubuntu/thesis/programs/astride_evaluation/input/0427/SL2641NORAD48369.fits,SL2641NORAD48369.fits,,2,,1,"TP_ACCEPT (detected streak, acceptable)"
/home/ubuntu/thesis/programs/astride_evaluation/input/0427/SL30041NORAD57613.fits,SL30041NORAD57613.fits,,1,,1,"TP_ACCEPT (detected streak, acceptable)"
/home/ubuntu/thesis/programs/astride_evaluation/input/0903/SL-1579(NORAD-46083).fits,SL-1579(NORAD-46083).fits,,1,,1,"TP_ACCEPT (detected streak, acceptable)"
/home/ubuntu/thesis/programs/astride_evaluation/input/0903/SL-2278(NORAD-48026).fits,SL-2278(NORAD-48026).fits,,1,,1,"TP_ACCEPT (detected streak, acceptable)"
/home/ubuntu/thesis/programs/astride_evaluation/input/0903/SL-2441(NORAD-48335)_1.fits,SL-2441(NORAD-48335)_1.fits,,1,,1,"TP_ACCEPT (detected streak, acceptable)"
/home/ubuntu/thesis/programs/astride_evaluation/input/0903/SL-2441(NORAD-48335)_2.fits,SL-2441(NORAD-48335)_2.fits,,1,,1,"TP_ACCEPT (detected streak, acceptable)"
/home/ubuntu/thesis/programs/astride_evaluation/input/0903/SL-2469(NORAD-48128).fits,SL-2469(NORAD-48128).fits,,1,,1,"TP_ACCEPT (detected streak, acceptable)"
/home/ubuntu/thesis/programs/astride_evaluation/input/0903/SL-2509(NORAD-48318).fits,SL-2509(NORAD-48318).fits,,5,,1,"TP_ACCEPT (detected streak, acceptable)"
/home/ubuntu/thesis/programs/astride_evaluation/input/0903/SL-2571(NORAD-48401).fits,SL-2571(NORAD-48401).fits,,1,,1,"TP_ACCEPT (detected streak, acceptable)"
/home/ubuntu/thesis/programs/astride_evaluation/input/0903/SL-30279(NORAD-57885).fits,SL-30279(NORAD-57885).fits,,1,,1,"TP_ACCEPT (detected streak, acceptable)"
/home/ubuntu/thesis/programs/astride_evaluation/input/0903/SL-30340(NORAD-57884).fits,SL-30340(NORAD-57884).fits,,1,,1,"TP_ACCEPT (detected streak, acceptable)"
/home/ubuntu/thesis/programs/astride_evaluation/input/0903/SL-30359(NORAD-57779).fits,SL-30359(NORAD-57779).fits,,4,,1,"TP_ACCEPT (detected streak, acceptable)"
/home/ubuntu/thesis/programs/astride_evaluation/input/0903/SL-30432(NORAD-578643).fits,SL-30432(NORAD-578643).fits,,1,,1,"TP_ACCEPT (detected streak, acceptable)"
/home/ubuntu/thesis/programs/astride_evaluation/input/0903/SL-30446(NORAD-57872).fits,SL-30446(NORAD-57872).fits,,4,,1,"TP_ACCEPT (detected streak, acceptable)"
/home/ubuntu/thesis/programs/astride_evaluation/input/0903/SL-30800(NORAD-58206).fits,SL-30800(NORAD-58206).fits,,1,,1,"TP_ACCEPT (detected streak, acceptable)"
/home/ubuntu/thesis/programs/astride_evaluation/input/0903/SL31070(NORAD58639).fits,SL31070(NORAD58639).fits,,4,,1,"TP_ACCEPT (detected streak, acceptable)"
/home/ubuntu/thesis/programs/astride_evaluation/input/0903/SL311131(NORAD59756).fits,SL311131(NORAD59756).fits,,1,,1,"TP_ACCEPT (detected streak, acceptable)"
/home/ubuntu/thesis/programs/astride_evaluation/input/0904/SL-1579(NORAD-46083)_1.fits,SL-1579(NORAD-46083)_1.fits,,0,,1,"TP_ACCEPT (detected streak, acceptable)"
/home/ubuntu/thesis/programs/astride_evaluation/input/0904/SL-1579(NORAD-46083)_2.fits,SL-1579(NORAD-46083)_2.fits,,5,,1,"TP_ACCEPT (detected streak, acceptable)"
/home/ubuntu/thesis/programs/astride_evaluation/input/0904/SL-2278(NORAD-48026)_1.fits,SL-2278(NORAD-48026)_1.fits,,0,,1,"TP_ACCEPT (detected streak, acceptable)"
/home/ubuntu/thesis/programs/astride_evaluation/input/0904/SL-2278(NORAD-48026)_2.fits,SL-2278(NORAD-48026)_2.fits,,5,,1,"TP_ACCEPT (detected streak, acceptable)"
/home/ubuntu/thesis/programs/astride_evaluation/input/0904/SL-2441(NORAD-48335).fits,SL-2441(NORAD-48335).fits,,0,,1,"TP_ACCEPT (detected streak, acceptable)"
/home/ubuntu/thesis/programs/astride_evaluation/input/0904/SL-2469(NORAD-48128)_1.fits,SL-2469(NORAD-48128)_1.fits,,1,,1,"TP_ACCEPT (detected streak, acceptable)"
/home/ubuntu/thesis/programs/astride_evaluation/input/0904/SL-2469(NORAD-48128)_2.fits,SL-2469(NORAD-48128)_2.fits,,4,,1,"TP_ACCEPT (detected streak, acceptable)"
/home/ubuntu/thesis/programs/astride_evaluation/input/0904/SL-2469(NORAD-48128)_3.fits,SL-2469(NORAD-48128)_3.fits,,1,,1,"TP_ACCEPT (detected streak, acceptable)"
/home/ubuntu/thesis/programs/astride_evaluation/input/0904/SL-2509(NORAD-48318)_1.fits,SL-2509(NORAD-48318)_1.fits,,1,,1,"TP_ACCEPT (detected streak, acceptable)"
/home/ubuntu/thesis/programs/astride_evaluation/input/0904/SL-2509(NORAD-48318)_2.fits,SL-2509(NORAD-48318)_2.fits,,6,,1,"TP_ACCEPT (detected streak, acceptable)"
/home/ubuntu/thesis/programs/astride_evaluation/input/0904/SL-2509(NORAD-48318)_3.fits,SL-2509(NORAD-48318)_3.fits,,0,,1,"TP_ACCEPT (detected streak, acceptable)"
/home/ubuntu/thesis/programs/astride_evaluation/input/0904/SL-2571(NORAD-48401)_1.fits,SL-2571(NORAD-48401)_1.fits,,4,,1,"TP_ACCEPT (detected streak, acceptable)"
/home/ubuntu/thesis/programs/astride_evaluation/input/0904/SL-2571(NORAD-48401)_2.fits,SL-2571(NORAD-48401)_2.fits,,4,,1,"TP_ACCEPT (detected streak, acceptable)"
/home/ubuntu/thesis/programs/astride_evaluation/input/0904/SL-30279(NORAD-57885)_1.fits,SL-30279(NORAD-57885)_1.fits,,1,,1,"TP_ACCEPT (detected streak, acceptable)"
/home/ubuntu/thesis/programs/astride_evaluation/input/0904/SL-30279(NORAD-57885)_2.fits,SL-30279(NORAD-57885)_2.fits,,2,,1,"TP_ACCEPT (detected streak, acceptable)"
/home/ubuntu/thesis/programs/astride_evaluation/input/0904/SL-30716(NORAD-57936).fits,SL-30716(NORAD-57936).fits,,1,,1,"TP_ACCEPT (detected streak, acceptable)"
/home/ubuntu/thesis/programs/astride_evaluation/input/0904/SL-30800(NORAD-58206).fits,SL-30800(NORAD-58206).fits,,1,,1,"TP_ACCEPT (detected streak, acceptable)"
/home/ubuntu/thesis/programs/astride_evaluation/input/0904/SL-5651(NORAD-55357).fits,SL-5651(NORAD-55357).fits,,1,,1,"TP_ACCEPT (detected streak, acceptable)"
/home/ubuntu/thesis/programs/astride_evaluation/input/0904/SL-6191(NORAD-56378).fits,SL-6191(NORAD-56378).fits,,3,,1,"TP_ACCEPT (detected streak, acceptable)"
/home/ubuntu/thesis/programs/astride_evaluation/input/0905/SL-1098NORAD-44917).fits,SL-1098NORAD-44917).fits,,1,,1,"TP_ACCEPT (detected streak, acceptable)"
/home/ubuntu/thesis/programs/astride_evaluation/input/0905/SL-1765NORAD-46344)_1.fits,SL-1765NORAD-46344)_1.fits,,1,,1,"TP_ACCEPT (detected streak, acceptable)"
/home/ubuntu/thesis/programs/astride_evaluation/input/0905/SL-1765NORAD-46344)_2.fits,SL-1765NORAD-46344)_2.fits,,2,,1,"TP_ACCEPT (detected streak, acceptable)"
/home/ubuntu/thesis/programs/astride_evaluation/input/0905/SL-2441(NORAD-48335).fits,SL-2441(NORAD-48335).fits,,0,,1,"TP_ACCEPT (detected streak, acceptable)"
/home/ubuntu/thesis/programs/astride_evaluation/input/0905/SL-2509(NORAD-48318).fits,SL-2509(NORAD-48318).fits,,0,,1,"TP_ACCEPT (detected streak, acceptable)"
/home/ubuntu/thesis/programs/astride_evaluation/input/0905/SL-30339NORAD-57882).fits,SL-30339NORAD-57882).fits,,0,,1,"TP_ACCEPT (detected streak, acceptable)"
/home/ubuntu/thesis/programs/astride_evaluation/input/0905/SL-30853(NORAD-58236).fits,SL-30853(NORAD-58236).fits,,0,,1,"TP_ACCEPT (detected streak, acceptable)"
/home/ubuntu/thesis/programs/astride_evaluation/input/0905/SL-5346NORAD-56518)_1.fits,SL-5346NORAD-56518)_1.fits,,2,,1,"TP_ACCEPT (detected streak, acceptable)"
/home/ubuntu/thesis/programs/astride_evaluation/input/0905/SL-5346NORAD-56518)_2.fits,SL-5346NORAD-56518)_2.fits,,1,,1,"TP_ACCEPT (detected streak, acceptable)"
